,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females
Country,Infectious and parasitic diseases,Respiratory Infectious ,Maternal conditions,Neonatal conditions,Nutritional deficiencies,Malignant neoplasms,Other neoplasms,Diabetes mellitus,"Endocrine, blood, immune disorders",Mental and substance use disorders,Neurological conditions,Sense organ diseases,Cardiovascular diseases,Respiratory diseases,Digestive diseases,Genitourinary diseases,Skin diseases,Musculoskeletal diseases,Congenital anomalies,Oral conditions,Sudden infant death syndrome,Unintentional injuries,Intentional injuries,Infectious and parasitic diseases,Respiratory Infectious ,Neonatal conditions,Nutritional deficiencies,Malignant neoplasms,Other neoplasms,Diabetes mellitus,"Endocrine, blood, immune disorders",Mental and substance use disorders,Neurological conditions,Sense organ diseases,Cardiovascular diseases,Respiratory diseases,Digestive diseases,Genitourinary diseases,Skin diseases,Musculoskeletal diseases,Congenital anomalies,Oral conditions,Sudden infant death syndrome,Unintentional injuries,Intentional injuries,Infectious and parasitic diseases,Respiratory Infectious ,Maternal conditions,Neonatal conditions,Nutritional deficiencies,Malignant neoplasms,Other neoplasms,Diabetes mellitus,"Endocrine, blood, immune disorders",Mental and substance use disorders,Neurological conditions,Sense organ diseases,Cardiovascular diseases,Respiratory diseases,Digestive diseases,Genitourinary diseases,Skin diseases,Musculoskeletal diseases,Congenital anomalies,Oral conditions,Sudden infant death syndrome,Unintentional injuries,Intentional injuries
Paraguay,122.9,66.6,17.1,118.5,36.7,166.1,7.0,85.5,14.1,163.0,84.9,84.1,258.2,47.6,61.9,70.5,23.9,84.7,74.2,16.7,2.9,202.5,75.9,73.6,36.3,66.2,15.4,84.0,4.4,36.8,6.6,82.2,36.1,41.6,141.5,25.9,37.5,31.0,11.4,36.0,37.9,7.8,1.7,150.8,55.1,49.3,30.4,17.1,52.3,21.3,82.0,2.6,48.7,7.4,80.8,48.8,42.5,116.7,21.7,24.4,39.5,12.5,48.7,36.3,8.9,1.2,51.7,20.8
Peru,451.3,614.5,31.5,375.9,174.8,758.1,14.1,235.8,43.9,646.8,382.8,460.0,905.0,294.3,469.9,321.9,106.2,364.7,279.4,97.2,1.7,758.1,296.5,275.4,340.9,199.5,78.5,348.0,6.9,122.0,20.9,334.9,162.5,215.7,511.9,156.9,293.5,150.0,50.6,165.1,142.3,46.5,0.9,540.9,231.0,175.9,273.6,31.5,176.5,96.3,410.0,7.2,113.8,23.0,311.8,220.3,244.3,393.2,137.4,176.5,171.9,55.6,199.6,137.1,50.7,0.8,217.2,65.6
Philippines,3231.3,2809.4,184.6,2458.0,541.7,2251.3,119.0,1200.2,302.3,1816.7,880.2,1361.7,6872.7,1724.9,865.2,1136.8,438.0,1187.2,929.7,194.0,46.6,1966.6,1386.7,1908.5,1565.1,1391.4,240.6,1051.9,66.2,610.9,143.9,976.6,407.8,670.5,4174.7,1042.2,627.0,632.4,213.2,523.7,485.9,85.0,25.7,1365.1,1153.2,1322.9,1244.3,184.6,1066.6,301.1,1199.4,52.8,589.3,158.4,840.1,472.5,691.3,2698.1,682.7,238.2,504.3,224.8,663.5,443.8,109.0,20.9,601.5,233.5
Poland,115.3,316.6,2.1,118.4,75.4,2545.6,113.7,318.1,71.5,916.5,501.4,776.6,3401.1,435.2,533.1,211.4,95.8,661.3,139.1,166.0,2.6,1088.3,304.9,65.0,187.5,61.6,30.7,1447.8,65.0,169.3,30.6,528.6,209.8,339.5,1905.6,261.4,338.6,93.4,43.3,269.5,70.3,71.5,1.5,704.2,259.7,50.2,129.0,2.1,56.8,44.7,1097.8,48.7,148.9,40.8,387.9,291.6,437.1,1495.5,173.8,194.4,118.0,52.5,391.8,68.8,94.4,1.0,384.1,45.1
Portugal,77.4,112.7,0.8,21.8,13.9,612.8,11.6,117.7,37.9,280.6,229.0,165.9,519.7,141.1,112.3,77.4,27.2,223.5,22.2,51.1,0.2,165.5,55.2,52.3,59.9,11.5,4.4,380.5,6.2,56.9,18.0,122.3,91.8,72.2,272.8,73.3,74.2,35.7,11.4,86.1,11.7,21.4,0.1,100.0,40.6,25.1,52.8,0.8,10.3,9.5,232.3,5.4,60.8,19.9,158.3,137.2,93.7,246.9,67.8,38.1,41.6,15.8,137.4,10.5,29.7,0.1,65.5,14.6
Qatar,10.8,5.8,0.4,10.5,3.9,24.5,0.2,25.4,2.7,63.1,23.6,17.2,38.0,7.4,8.0,11.4,5.6,31.8,13.0,5.3,0.3,55.2,21.6,9.1,4.2,6.2,2.0,16.4,0.2,18.8,1.7,46.8,15.8,12.5,31.5,5.4,6.2,7.0,3.9,22.3,8.1,3.9,0.2,50.0,20.0,1.8,1.5,0.4,4.3,1.8,8.1,0.0,6.6,1.0,16.3,7.7,4.7,6.5,2.0,1.8,4.5,1.8,9.5,4.9,1.3,0.1,5.2,1.6
Republic of Korea,224.2,310.9,4.3,116.8,114.2,2010.8,33.8,512.3,77.9,1243.3,734.1,598.2,1355.8,483.9,386.8,318.7,134.9,929.6,96.3,178.3,7.2,858.7,581.7,135.6,173.2,60.2,31.6,1270.2,19.2,281.0,40.2,608.9,288.1,283.0,754.4,302.8,264.2,145.9,57.4,386.3,50.1,90.2,3.9,554.0,407.1,88.5,137.7,4.3,56.5,82.6,740.6,14.7,231.3,37.7,634.4,446.0,315.3,601.3,181.2,122.6,172.7,77.5,543.3,46.2,88.2,3.3,304.7,174.6
Republic of Moldova,32.8,49.6,1.1,34.1,12.8,202.9,3.3,27.0,6.2,121.2,48.8,62.2,527.4,30.6,140.6,30.5,10.7,64.6,27.6,15.0,0.5,122.4,41.7,22.6,34.8,17.2,3.9,120.9,1.5,12.1,2.2,64.8,21.5,27.0,275.9,18.6,80.5,11.7,4.9,27.3,15.5,6.7,0.3,84.8,33.6,10.3,14.7,1.1,17.0,9.0,82.0,1.8,14.9,4.1,56.5,27.3,35.1,251.5,11.9,60.1,18.8,5.8,37.3,12.1,8.3,0.3,37.7,8.1
Romania,130.0,214.5,3.5,86.6,71.1,1340.4,8.9,118.1,30.6,416.5,260.0,360.8,2601.4,250.2,451.7,186.3,47.4,344.2,73.0,87.6,0.8,593.8,104.6,80.8,130.9,47.1,22.5,808.8,4.9,61.3,13.7,211.4,109.1,158.6,1400.5,161.0,291.0,89.4,21.4,141.7,36.9,38.1,0.4,400.4,84.4,49.3,83.6,3.5,39.5,48.6,531.6,4.0,56.9,16.9,205.1,150.9,202.2,1200.9,89.2,160.7,96.9,26.1,202.5,36.1,49.4,0.4,193.4,20.2
Russian Federation,2745.9,1445.0,38.0,698.5,166.2,9484.3,46.6,769.5,234.6,5907.4,2132.2,2502.4,20681.9,1102.8,2774.6,1044.9,392.3,2284.9,719.8,602.0,66.4,6034.2,2999.3,1882.1,1005.3,360.2,66.1,5255.7,19.6,313.1,77.7,3561.6,700.3,974.6,11193.3,672.6,1739.7,404.1,179.1,889.2,377.7,243.5,35.2,4177.1,2460.6,863.8,439.7,38.0,338.3,100.1,4228.7,26.9,456.5,156.9,2345.8,1431.9,1527.8,9488.6,430.2,1034.9,640.8,213.2,1395.7,342.1,358.5,31.1,1857.1,538.7
Rwanda,976.7,326.5,56.1,507.4,166.9,326.4,9.4,59.2,29.4,245.7,102.9,110.2,261.1,96.2,137.5,54.7,47.6,73.6,161.4,16.9,9.6,486.1,145.4,507.3,175.5,283.9,92.0,155.6,4.4,33.5,15.9,126.4,46.8,50.7,133.1,44.5,84.8,26.1,21.8,33.3,88.6,7.2,5.7,323.9,92.1,469.5,151.0,56.1,223.5,74.9,170.9,5.0,25.8,13.5,119.4,56.1,59.6,128.0,51.7,52.7,28.6,25.8,40.3,72.8,9.7,3.9,162.3,53.4
Saint Lucia,2.2,1.3,0.2,2.2,0.9,7.0,0.3,3.5,1.1,4.2,2.2,2.5,9.8,2.3,2.0,1.6,0.8,2.8,0.8,0.7,0.0,4.0,2.3,1.1,0.7,1.1,0.3,3.4,0.1,1.7,0.5,2.2,1.0,1.1,5.1,1.5,1.2,0.8,0.4,1.3,0.5,0.3,0.0,3.0,1.9,1.0,0.7,0.2,1.1,0.6,3.5,0.2,1.9,0.6,2.1,1.2,1.4,4.7,0.8,0.8,0.8,0.4,1.5,0.3,0.4,0.0,1.0,0.4
Saint Vincent and the Grenadines,2.2,1.4,0.1,1.7,0.7,4.7,0.1,3.0,0.7,2.6,1.4,1.4,6.9,1.2,1.2,1.0,0.4,1.6,0.9,0.4,0.0,2.2,1.0,1.3,0.8,0.9,0.3,2.5,0.1,1.5,0.3,1.5,0.6,0.7,4.0,0.8,0.8,0.5,0.2,0.7,0.5,0.2,0.0,1.8,0.8,0.9,0.7,0.1,0.8,0.4,2.2,0.0,1.5,0.3,1.2,0.7,0.7,2.9,0.4,0.4,0.5,0.3,0.9,0.3,0.2,0.0,0.5,0.2
Samoa,2.3,1.9,0.1,3.6,1.0,4.7,0.0,3.3,0.4,3.1,1.7,2.4,7.8,2.2,1.0,1.9,0.8,2.2,2.1,0.3,0.1,3.2,0.9,1.2,1.1,1.9,0.5,2.5,0.0,1.8,0.2,1.7,0.8,1.2,4.9,1.3,0.7,0.9,0.4,0.9,1.1,0.1,0.0,2.2,0.7,1.0,0.8,0.1,1.7,0.6,2.3,0.0,1.5,0.2,1.5,0.9,1.2,2.9,0.9,0.3,1.0,0.4,1.3,1.0,0.1,0.0,1.0,0.2
Sao Tome and Principe,12.0,5.8,0.6,8.2,3.0,3.7,0.0,0.5,0.9,3.4,1.8,1.9,5.8,2.4,3.7,2.4,0.7,1.4,2.8,0.3,0.1,7.5,1.3,7.4,3.1,4.7,1.6,1.8,0.0,0.3,0.3,1.7,0.8,0.9,2.5,1.2,2.2,1.0,0.3,0.6,1.1,0.2,0.1,5.6,0.9,4.6,2.7,0.6,3.4,1.4,1.9,0.0,0.3,0.6,1.6,1.0,1.0,3.3,1.2,1.5,1.4,0.4,0.8,1.7,0.2,0.0,1.9,0.3
Saudi Arabia,201.1,217.6,7.6,394.4,153.5,395.7,19.2,218.1,91.7,743.1,387.0,306.7,1137.1,154.7,148.2,293.5,100.9,453.3,295.0,69.4,17.8,933.6,190.5,125.7,120.5,209.1,40.7,211.9,10.7,133.7,41.3,429.5,194.2,175.8,723.3,86.5,92.0,151.6,53.0,244.9,151.4,41.2,8.8,722.0,125.6,75.4,97.1,7.6,185.3,112.7,183.7,8.5,84.4,50.3,313.6,192.8,130.9,413.8,68.3,56.2,141.9,48.0,208.4,143.6,28.2,9.0,211.6,64.9
Senegal,1341.5,544.4,90.9,954.4,306.8,244.3,8.8,77.0,94.0,270.3,141.0,152.8,433.1,108.5,170.4,128.1,55.1,109.7,256.8,27.7,15.5,619.2,123.7,726.3,294.4,544.3,140.2,102.5,4.4,33.3,41.3,140.4,65.8,69.9,212.0,60.1,106.5,66.9,24.7,47.1,125.2,12.8,10.7,406.6,93.2,615.2,250.1,90.9,410.1,166.6,141.8,4.4,43.7,52.6,129.9,75.2,82.9,221.2,48.4,63.9,61.2,30.4,62.6,131.6,15.0,4.8,212.6,30.6
Serbia,29.2,35.0,1.0,42.2,23.3,590.2,13.6,106.1,19.3,188.5,142.7,165.8,1011.0,132.0,98.8,84.6,22.1,160.5,31.7,37.0,0.5,188.0,63.5,16.3,20.4,21.9,9.9,341.8,7.2,54.5,7.9,95.6,59.7,74.9,527.2,78.0,60.2,41.7,10.1,66.5,15.8,16.4,0.3,119.5,46.7,12.9,14.7,1.0,20.3,13.4,248.4,6.4,51.5,11.5,92.9,82.9,90.9,483.7,54.0,38.6,42.9,12.0,94.1,16.0,20.6,0.2,68.5,16.9
Seychelles,1.1,1.6,0.1,1.1,0.3,4.0,0.0,1.0,0.4,1.9,1.3,1.3,6.6,1.2,1.7,1.8,0.3,1.3,0.7,0.2,0.0,2.2,0.9,0.7,1.1,0.6,0.1,2.4,0.0,0.5,0.2,1.0,0.6,0.6,4.2,0.8,1.4,1.0,0.2,0.6,0.4,0.1,0.0,1.6,0.7,0.4,0.5,0.1,0.5,0.2,1.6,0.0,0.5,0.2,0.9,0.8,0.6,2.4,0.4,0.4,0.8,0.2,0.7,0.4,0.1,0.0,0.5,0.2
Sierra Leone,2093.4,594.6,171.7,767.5,257.4,97.1,3.9,54.6,157.7,131.6,69.0,60.7,438.9,85.9,189.4,98.3,26.0,50.8,167.2,11.0,12.1,430.9,108.5,1110.3,306.6,441.9,125.0,39.3,1.8,19.6,53.1,70.1,34.0,29.9,210.0,43.0,106.5,51.9,11.7,22.2,83.1,5.3,7.7,287.0,75.8,983.1,287.9,171.7,325.7,132.4,57.8,2.1,35.0,104.6,61.6,35.0,30.8,228.9,42.9,82.9,46.5,14.3,28.7,84.1,5.7,4.4,143.9,32.6
Singapore,11.6,92.4,0.4,8.0,6.7,202.6,2.8,22.8,4.1,82.7,37.4,49.6,185.7,30.9,18.3,41.0,13.1,65.0,9.7,13.1,0.2,51.9,25.5,7.7,51.0,4.1,1.4,111.5,1.5,11.4,1.9,38.5,15.1,23.3,114.5,20.4,10.5,17.5,5.6,27.9,5.1,6.7,0.1,33.0,17.1,3.9,41.4,0.4,3.9,5.3,91.2,1.3,11.4,2.1,44.1,22.3,26.3,71.3,10.5,7.8,23.6,7.5,37.1,4.5,6.4,0.1,18.9,8.4
Slovakia,16.8,42.2,0.4,20.5,10.5,354.1,2.9,39.8,11.9,118.5,98.4,80.5,411.3,41.6,100.0,37.3,15.8,96.4,22.1,18.1,1.1,164.7,34.9,8.9,25.5,11.4,4.8,208.9,1.2,20.4,5.2,61.4,39.4,34.9,228.5,25.0,64.9,16.0,7.2,40.8,11.7,8.3,0.5,109.0,29.2,7.9,16.7,0.4,9.1,5.7,145.2,1.7,19.4,6.7,57.0,59.0,45.7,182.8,16.6,35.0,21.4,8.6,55.7,10.5,9.8,0.6,55.7,5.7
Slovenia,5.6,10.7,0.2,4.5,3.9,137.3,1.2,14.5,5.5,49.2,28.8,35.2,130.9,16.4,28.3,12.1,5.0,40.3,6.5,11.6,0.1,69.1,15.9,2.8,5.2,2.4,1.6,80.1,0.6,7.8,2.6,25.9,12.2,15.8,66.2,9.7,18.3,4.7,2.3,17.5,3.3,5.2,0.1,40.7,12.8,2.8,5.5,0.2,2.1,2.3,57.2,0.6,6.7,2.9,23.3,16.6,19.3,64.7,6.7,10.0,7.4,2.7,22.8,3.1,6.4,0.0,28.4,3.1
Solomon Islands,18.2,10.8,0.8,15.3,5.5,13.9,0.1,9.1,1.2,9.6,4.1,6.9,22.9,8.0,3.3,5.0,2.3,5.9,6.1,0.7,0.2,14.0,3.6,10.0,5.7,8.3,2.4,6.5,0.1,4.3,0.7,5.1,1.9,3.5,13.0,4.7,2.1,2.4,1.1,2.4,3.4,0.3,0.1,9.3,2.6,8.2,5.1,0.8,7.0,3.1,7.4,0.0,4.8,0.5,4.5,2.2,3.3,9.9,3.3,1.2,2.7,1.2,3.5,2.7,0.4,0.1,4.7,1.0
Somalia,3838.3,1918.2,272.3,1882.1,549.9,228.1,14.8,76.4,86.9,205.6,103.7,131.0,514.5,118.4,246.6,86.9,51.2,66.9,344.7,14.3,30.1,863.1,532.6,1987.4,1002.5,1057.9,286.2,92.2,7.4,43.0,47.1,106.6,55.1,63.9,270.4,62.1,147.8,47.9,23.6,31.7,174.9,6.7,16.7,524.7,388.2,1850.9,915.7,272.3,824.2,263.8,135.9,7.5,33.4,39.7,99.1,48.5,67.2,244.2,56.3,98.9,38.9,27.6,35.2,169.8,7.6,13.3,338.3,144.4
South Africa,9048.5,1682.3,102.8,1410.9,550.5,1632.6,52.7,1224.5,362.1,1219.1,761.2,708.7,2482.4,835.8,495.5,565.9,197.9,577.2,558.9,130.0,45.6,1517.2,1419.2,4661.9,957.8,806.0,262.2,786.1,28.7,591.8,208.8,632.5,360.5,323.8,1349.6,480.8,308.2,284.1,93.3,271.4,301.9,59.1,24.9,1038.8,1144.8,4386.6,724.5,102.8,604.9,288.3,846.5,24.0,632.7,153.4,586.6,400.7,384.9,1132.8,354.9,187.3,281.8,104.6,305.7,257.0,70.9,20.8,478.4,274.4
South Sudan,2902.5,917.6,210.5,1247.8,366.9,303.9,0.1,68.8,51.8,234.0,99.6,147.9,360.0,96.6,157.6,71.4,52.9,82.2,221.0,17.8,9.4,583.0,200.1,1489.5,478.4,697.5,192.9,139.6,0.1,38.3,27.2,120.7,47.4,72.6,185.0,48.0,96.2,35.5,24.6,39.7,114.6,8.3,5.2,367.0,146.1,1413.0,439.2,210.5,550.4,174.0,164.4,0.1,30.5,24.6,113.3,52.1,75.3,175.1,48.6,61.5,35.8,28.3,42.5,106.4,9.5,4.2,216.0,53.9
Spain,173.0,221.7,3.4,114.6,56.2,2336.9,77.5,295.9,129.6,1194.6,1114.4,696.3,1921.2,701.1,414.8,330.6,128.7,882.4,108.6,175.9,3.0,667.4,177.3,104.8,117.9,61.1,18.1,1440.4,42.4,151.3,60.3,539.6,416.1,320.8,1038.9,410.1,255.7,148.8,54.2,359.8,56.0,76.1,1.7,385.1,126.4,68.3,103.8,3.4,53.5,38.2,896.5,35.1,144.6,69.2,655.0,698.3,375.5,882.3,291.0,159.1,181.8,74.5,522.6,52.6,99.9,1.3,282.3,50.9
Sri Lanka,232.3,161.6,6.6,149.3,75.2,592.4,6.1,401.2,37.4,412.8,303.3,337.2,1172.9,362.1,247.1,224.4,65.3,261.4,131.6,47.9,2.9,534.4,233.4,139.7,98.2,80.3,18.8,308.3,3.8,193.1,17.9,213.4,121.4,158.4,706.4,203.5,201.8,117.6,30.6,106.2,63.7,20.7,0.8,391.6,178.3,92.7,63.3,6.6,69.0,56.4,284.1,2.4,208.1,19.5,199.3,181.9,178.7,466.6,158.6,45.3,106.8,34.8,155.2,67.9,27.2,2.0,142.8,55.2
Sudan,2995.0,1419.7,229.0,3330.0,584.1,631.9,48.0,283.2,232.2,895.9,466.8,485.1,2575.1,420.3,368.8,423.6,111.1,475.4,729.2,76.2,31.7,1910.9,658.3,1499.1,638.9,1889.1,260.8,313.1,27.2,127.3,113.5,465.1,200.7,236.6,1312.6,216.9,217.6,182.0,52.0,201.8,398.9,37.4,16.5,1362.2,486.0,1495.9,780.8,229.0,1440.9,323.2,318.8,20.8,155.9,118.8,430.9,266.1,248.5,1262.6,203.4,151.1,241.6,59.1,273.6,330.3,38.8,15.2,548.7,172.3
Suriname,13.7,5.5,1.1,10.6,2.7,17.9,0.1,9.8,1.7,13.5,6.9,6.7,32.8,4.6,7.3,7.9,2.3,7.3,4.0,1.7,0.4,14.6,9.6,7.6,3.2,5.9,1.1,9.0,0.0,5.2,0.8,6.8,3.1,3.0,19.5,2.5,4.7,4.1,1.1,3.3,2.1,0.7,0.2,10.6,7.2,6.1,2.2,1.1,4.7,1.6,8.9,0.0,4.6,0.9,6.7,3.8,3.7,13.3,2.1,2.6,3.8,1.2,4.1,1.9,0.9,0.2,4.0,2.3
Swaziland,316.1,60.7,8.4,79.2,21.8,28.0,1.9,26.0,10.0,28.7,16.9,13.2,44.6,17.6,12.1,10.3,5.2,10.5,27.0,2.3,1.6,60.0,28.6,153.4,32.0,45.1,11.8,14.1,1.0,10.9,4.9,15.6,8.3,6.3,20.0,9.6,6.8,4.7,2.4,4.8,15.1,1.1,0.9,39.1,21.8,162.6,28.7,8.4,34.1,10.1,13.9,1.0,15.1,5.0,13.1,8.6,6.9,24.7,8.0,5.2,5.6,2.9,5.7,11.9,1.2,0.7,20.9,6.8
Sweden,28.2,49.5,0.6,26.1,8.8,465.5,17.8,86.7,22.8,288.0,233.7,106.1,507.6,132.5,65.1,46.4,30.4,208.9,31.4,40.5,1.8,153.7,66.7,14.1,26.4,13.9,3.4,242.2,9.3,49.9,11.0,143.8,94.0,50.9,281.1,59.8,37.5,22.4,13.1,87.6,16.6,18.7,1.1,92.2,45.5,14.2,23.1,0.6,12.2,5.4,223.3,8.5,36.8,11.8,144.2,139.7,55.2,226.5,72.7,27.6,24.1,17.2,121.3,14.8,21.8,0.8,61.5,21.2
Switzerland,20.5,34.6,0.5,33.5,15.1,383.8,11.0,44.4,21.0,221.7,197.1,100.2,332.6,92.0,56.3,50.3,23.3,180.6,30.6,43.4,0.7,130.5,52.4,11.1,17.3,17.9,2.2,214.7,5.5,24.5,9.0,104.7,78.2,46.4,178.6,49.7,33.4,24.0,10.0,74.2,16.1,19.6,0.4,75.5,35.1,9.3,17.3,0.5,15.6,12.9,169.1,5.5,19.8,12.0,117.0,118.9,53.8,154.0,42.3,22.9,26.2,13.3,106.4,14.5,23.7,0.3,55.0,17.3
Syrian Arab Republic,288.4,136.3,19.7,272.0,93.6,442.3,20.9,93.9,51.2,406.8,214.8,209.9,955.7,131.5,84.4,130.4,46.8,206.9,175.4,38.9,4.3,330.1,4454.6,142.7,73.0,152.8,40.8,224.4,12.3,44.3,20.6,206.0,86.5,102.2,532.8,67.7,43.8,52.8,22.2,85.1,93.7,19.0,2.1,226.7,3083.1,145.7,63.3,19.7,119.2,52.8,217.9,8.7,49.6,30.6,200.8,128.2,107.7,422.9,63.8,40.6,77.6,24.6,121.9,81.6,19.9,2.2,103.5,1371.6
Tajikistan,224.6,229.1,4.5,414.9,61.5,176.7,28.2,35.7,19.4,152.9,89.1,90.5,413.8,58.0,78.6,52.0,20.3,67.6,118.8,19.1,7.8,256.2,26.7,138.5,120.8,239.0,25.6,93.6,19.9,19.1,8.8,85.2,39.5,46.3,226.5,30.0,45.9,21.3,9.5,31.0,63.9,9.1,4.2,170.9,19.0,86.1,108.3,4.5,175.9,35.9,83.1,8.3,16.6,10.6,67.7,49.6,44.2,187.3,28.0,32.7,30.7,10.8,36.6,54.9,10.0,3.7,85.4,7.8
Thailand,1695.7,1016.9,12.5,458.8,102.8,2871.9,75.1,789.1,141.6,1525.1,1169.5,1165.4,3031.6,1075.1,909.2,977.8,323.8,1268.0,329.8,180.6,13.7,2290.0,713.8,1027.0,584.6,249.4,41.1,1616.8,40.5,353.9,68.3,826.9,495.6,556.5,1817.5,676.8,657.7,456.9,162.5,501.3,162.5,81.1,8.2,1754.0,589.0,668.7,432.3,12.5,209.3,61.7,1255.1,34.7,435.2,73.3,698.2,673.9,608.9,1214.1,398.3,251.4,520.9,161.4,766.7,167.3,99.5,5.5,536.1,124.8
The former Yugoslav Republic of Macedonia,5.2,6.3,0.2,20.1,6.1,107.5,0.6,29.3,3.4,40.7,24.3,33.5,235.2,23.3,15.1,16.8,4.7,31.4,7.2,7.8,0.5,41.9,9.0,2.9,3.5,10.8,2.9,64.6,0.3,13.8,1.5,20.2,10.6,15.8,126.3,13.9,9.5,8.1,2.2,13.7,3.6,3.6,0.2,27.2,6.7,2.4,2.9,0.2,9.2,3.3,42.9,0.3,15.5,1.9,20.5,13.8,17.7,109.0,9.5,5.6,8.7,2.6,17.7,3.6,4.2,0.3,14.6,2.3
Timor-Leste,94.4,49.5,4.5,76.2,8.7,27.5,0.2,5.4,2.9,19.0,10.3,17.9,37.4,12.1,9.1,5.2,4.2,9.3,18.1,1.7,1.7,39.9,12.7,57.7,24.3,44.9,4.9,14.8,0.1,2.4,1.4,10.1,4.5,8.9,20.1,6.5,5.5,2.6,2.0,4.0,9.4,0.8,0.8,26.2,9.3,36.8,25.1,4.5,31.3,3.8,12.7,0.1,3.0,1.5,8.9,5.8,9.0,17.3,5.7,3.5,2.6,2.1,5.3,8.7,0.9,0.9,13.7,3.4
Togo,1314.0,422.4,57.1,567.4,161.1,125.1,5.1,38.5,80.4,143.3,71.7,72.0,319.8,72.6,124.7,65.7,27.2,57.6,141.4,12.7,6.4,363.1,82.5,651.0,232.6,323.9,71.6,51.6,2.6,17.8,27.9,75.9,32.4,33.9,162.7,36.5,69.2,32.6,12.0,25.3,67.6,6.1,4.3,228.2,57.9,663.0,189.8,57.1,243.5,89.5,73.5,2.5,20.7,52.4,67.4,39.2,38.1,157.1,36.1,55.5,33.0,15.1,32.3,73.8,6.6,2.1,134.9,24.6
Tonga,1.5,1.2,0.1,1.5,0.9,3.4,0.0,2.8,0.3,1.7,1.0,1.2,3.8,1.5,1.0,1.2,0.5,1.2,1.1,0.1,0.0,1.7,0.5,0.8,0.6,0.7,0.4,1.9,0.0,1.3,0.2,0.9,0.4,0.6,2.3,0.9,0.7,0.6,0.2,0.5,0.7,0.1,0.0,1.2,0.3,0.8,0.6,0.1,0.8,0.5,1.6,0.0,1.5,0.1,0.8,0.6,0.6,1.5,0.6,0.4,0.6,0.2,0.7,0.4,0.1,0.0,0.6,0.2
Trinidad and Tobago,24.2,10.6,0.8,19.8,5.7,50.8,3.2,61.0,7.9,32.5,19.6,17.1,91.3,14.4,14.0,13.8,4.8,23.4,10.0,5.1,0.3,30.7,44.2,14.0,6.1,10.9,1.7,25.5,1.6,32.8,3.8,16.5,9.6,7.7,52.0,8.4,8.6,7.4,2.2,10.1,5.3,2.3,0.2,23.3,38.3,10.2,4.5,0.8,8.9,4.0,25.3,1.7,28.1,4.0,16.0,10.0,9.4,39.3,6.0,5.4,6.4,2.7,13.3,4.6,2.9,0.1,7.4,6.0
Tunisia,80.5,87.4,8.5,154.1,17.5,248.2,13.0,142.3,32.3,281.4,201.0,162.6,675.6,100.6,76.5,131.9,32.7,198.1,98.9,34.4,3.8,236.4,35.3,45.2,43.6,80.2,7.9,149.2,7.3,69.1,12.9,136.3,79.6,76.6,378.3,53.7,39.9,60.9,15.0,83.5,50.9,17.2,1.9,162.1,24.5,35.3,43.8,8.5,73.9,9.7,99.0,5.8,73.3,19.4,145.1,121.4,86.0,297.4,46.9,36.6,70.9,17.7,114.6,48.0,17.2,1.9,74.2,10.8
Turkey,449.0,357.0,16.7,693.1,296.9,3129.9,4.0,888.0,281.7,1877.5,1655.6,1103.9,3575.0,899.5,442.0,815.2,208.0,1437.6,742.4,281.9,12.6,1408.0,536.6,267.9,200.0,377.0,97.6,1952.8,2.2,408.8,135.5,875.7,679.7,491.1,2046.3,548.7,245.2,374.2,95.5,590.8,370.5,128.9,6.5,996.0,413.9,181.1,157.0,16.7,316.0,199.3,1177.0,1.8,479.2,146.2,1001.8,976.0,612.8,1528.6,350.8,196.8,440.9,112.5,846.8,371.9,153.0,6.1,412.0,122.8
Turkmenistan,168.1,132.1,2.1,269.8,23.5,175.9,7.3,33.8,18.6,109.3,59.9,56.6,480.3,26.0,112.9,59.3,13.3,51.8,94.0,14.3,5.0,171.4,37.6,104.0,76.0,164.1,8.4,95.5,2.5,15.7,10.1,59.2,24.7,26.8,274.8,13.8,71.0,26.8,6.1,22.3,54.4,6.4,3.0,115.2,27.7,64.1,56.0,2.1,105.7,15.0,80.4,4.8,18.1,8.5,50.0,35.1,29.9,205.5,12.2,41.9,32.5,7.2,29.5,39.5,7.9,2.0,56.2,9.8
Uganda,6396.6,2002.1,361.5,3045.6,765.9,988.5,30.8,203.1,205.7,775.3,366.9,269.5,939.3,309.8,572.8,219.1,180.2,233.3,745.4,48.7,49.3,1956.3,636.1,3481.4,1051.8,1759.0,409.3,508.3,23.0,118.2,109.9,393.3,184.6,136.9,471.1,146.0,334.5,115.2,83.4,112.9,418.0,22.6,30.1,1277.5,444.4,2915.2,950.3,361.5,1286.6,356.6,480.2,7.8,84.9,95.8,382.0,182.4,132.5,468.2,163.8,238.4,103.9,96.8,120.4,327.4,26.1,19.3,678.8,191.7
