Country,Infectious_and_parasitic_diseases,Respiratory_Infectious,Maternal_conditions,Neonatal_conditions,Nutritional_deficiencies,Malignant_neoplasms,Other_neoplasms,Diabetes_mellitus,Endocrine_blood_immune_disorders,Mental_and_substance_use_disorders,Neurological_conditions,Sense_organ_diseases,Cardiovascular_diseases,Respiratory_diseases,Digestive_diseases,Genitourinary_diseases,Skin_diseases,Musculoskeletal_diseases,Congenital_anomalies,Oral_conditions,Sudden_infant_death_syndrome,Unintentional_injuries,Intentional_injuries,id,Population
India,61055.7,25522.9,2704.0,54847.7,22621.6,27909.3,552.2,11500.8,3428.7,27945.1,15424.6,20521.3,72208.9,29698.3,19944.1,13384.3,3756.5,17728.2,11314.1,3392.2,525.1,47175.4,15844.8,IND,"1,324,171"
Indonesia,12493.3,3029.1,586.5,5297.8,1651.0,6729.5,100.2,4033.0,585.8,4401.5,2953.5,3546.7,17962.1,3852.3,4465.7,2347.1,947.5,3085.8,1808.9,638.6,73.2,5696.5,1288.7,IDN,"261,115"
Iran (Islamic Republic of),703.2,495.6,20.9,1062.9,188.0,1781.6,30.0,791.6,167.0,2563.4,1151.8,874.1,3411.0,533.7,329.8,575.4,202.4,1297.0,533.4,180.3,4.6,1977.1,583.5,IRN,"80,277"
Iraq,550.9,634.8,43.1,1774.6,281.7,749.2,59.1,392.5,112.3,866.8,372.2,431.7,1345.5,210.7,120.2,277.0,108.8,348.4,632.6,68.9,21.1,880.8,3012.3,IRQ,"37,203"
Ireland,8.4,21.4,0.4,13.3,3.7,204.0,4.6,23.7,11.8,130.2,90.1,48.4,162.9,64.4,29.3,21.8,12.8,81.3,22.2,20.2,1.1,64.7,29.6,IRL,"4,726"
Israel,30.7,48.0,1.0,32.6,11.9,272.3,6.0,71.1,27.2,167.9,121.3,92.4,193.9,69.9,36.2,58.5,27.9,129.9,36.9,29.4,1.7,95.5,41.1,ISR,"8,192"
Italy,268.9,247.3,2.5,151.1,79.3,3500.1,147.0,579.1,223.5,1462.1,1400.2,1023.0,3352.1,712.7,521.3,404.9,159.3,1278.4,159.0,221.5,1.7,1019.1,211.6,ITA,"59,430"
Jamaica,61.9,15.4,2.8,49.8,15.9,95.3,4.3,66.9,8.9,59.3,36.1,37.2,112.6,23.8,16.5,29.3,11.3,41.4,17.7,9.3,0.4,35.8,66.7,JAM,"2,881"
Japan,380.1,1751.0,5.2,162.4,192.1,7330.4,219.0,1004.4,275.5,2575.4,2159.0,2210.2,5997.1,1989.7,1059.4,1138.7,354.3,2832.9,284.5,606.1,13.5,2098.1,980.3,JPN,"127,749"
Jordan,55.4,68.3,8.4,201.2,35.6,147.5,6.0,96.1,26.2,176.9,101.8,73.5,335.5,53.7,44.5,80.0,22.2,102.1,128.3,16.0,1.3,233.1,35.6,JOR,"9,456"
Kazakhstan,137.0,153.2,3.2,202.7,132.7,738.8,8.7,73.6,36.6,441.3,203.8,212.9,1668.0,195.1,347.6,132.2,41.5,198.1,118.2,59.7,8.0,623.2,288.5,KAZ,"17,988"
Kenya,6925.3,1342.3,354.6,2824.4,651.3,953.1,23.6,131.8,133.9,833.1,340.9,469.3,628.4,220.7,304.0,173.3,189.4,321.8,697.2,81.2,32.2,1608.8,266.8,KEN,"48,462"
Kiribati,5.2,3.6,0.2,6.4,1.9,2.7,0.0,3.5,0.5,2.0,1.1,1.4,6.4,2.3,1.8,1.1,0.5,1.2,2.1,0.1,0.1,2.3,1.8,KIR,114
Kuwait,24.8,30.6,0.6,25.7,12.8,51.6,2.1,27.7,5.5,103.3,38.2,33.2,151.5,21.7,14.4,21.5,9.6,57.7,29.4,10.1,0.9,85.0,13.3,KWT,"4,053"
Kyrgyzstan,72.1,78.5,6.4,147.1,44.3,127.1,4.3,21.3,10.6,137.6,64.5,68.3,419.0,45.8,106.4,43.9,14.8,59.9,62.5,15.4,1.7,154.8,49.2,KGZ,"5,956"
Lao People's Democratic Republic,441.0,220.4,27.2,386.7,66.7,180.2,2.8,68.6,20.1,123.1,66.4,88.2,362.8,99.1,78.9,55.9,28.0,68.4,86.7,7.8,3.5,233.1,66.6,LAO,"6,758"
Latvia,15.2,13.7,0.3,6.2,2.3,137.9,2.5,19.1,3.9,58.7,31.1,37.9,286.5,14.8,33.6,18.5,5.9,38.1,8.4,8.4,0.6,67.7,23.7,LVA,"1,971"
Lebanon,34.2,21.9,1.9,39.3,16.9,167.5,8.2,67.5,12.1,152.7,114.5,78.9,371.6,55.8,36.8,47.4,18.3,79.5,36.8,16.9,0.9,106.2,79.3,LBN,"6,007"
Lesotho,775.5,115.5,24.8,200.4,34.7,47.8,1.9,38.6,12.8,52.9,25.4,24.1,97.8,36.7,19.5,17.1,7.6,18.5,35.9,4.1,2.1,88.3,73.7,LSO,"2,204"
Liberia,932.5,221.2,57.9,309.0,71.6,66.3,2.5,22.1,28.8,87.1,38.6,47.6,132.1,25.8,54.5,37.5,15.6,34.2,76.2,7.9,5.2,188.3,51.2,LBR,"4,614"
Libya,65.7,43.6,1.2,75.9,19.3,125.1,6.9,64.2,17.0,153.5,87.0,69.0,305.9,47.6,39.7,66.9,17.5,90.3,62.5,15.4,1.1,165.0,270.5,LBY,"6,293"
Lithuania,27.0,20.0,0.3,8.6,3.5,194.4,3.4,16.5,5.0,96.3,44.1,51.9,398.3,21.7,66.5,21.9,7.6,54.2,13.5,13.1,0.5,107.2,48.2,LTU,"2,908"
Luxembourg,1.4,2.2,0.0,1.4,0.6,25.0,0.7,3.6,1.4,15.1,10.5,6.5,22.1,6.9,4.5,3.0,1.6,10.9,1.8,2.8,0.1,9.7,3.2,LUX,576
Madagascar,2337.7,928.6,195.5,1247.7,610.1,535.8,14.8,100.5,62.5,470.4,177.2,270.6,929.1,287.1,213.3,103.8,91.7,172.7,333.6,29.3,16.8,941.5,169.1,MDG,"24,895"
Malawi,2942.9,577.9,143.6,1263.8,402.3,480.6,15.8,62.1,53.3,312.1,126.0,155.9,323.6,100.6,136.7,72.5,71.0,112.6,300.4,24.2,12.2,600.0,54.8,MWI,"18,092"
Malaysia,657.2,359.5,13.9,223.4,94.9,786.4,27.8,273.6,42.8,631.9,344.4,295.8,1341.3,298.8,180.7,190.6,127.0,357.3,150.4,61.3,2.2,650.1,162.1,MYS,"31,187"
Maldives,2.7,1.3,0.3,3.1,2.9,6.6,0.0,1.9,1.6,6.7,3.9,4.2,10.2,3.9,0.9,2.7,1.6,4.0,2.4,0.6,0.1,3.4,2.6,MDV,428
